L^2 error,H^1 error,Weighted H^1 error
k=,10,
h=2^,-1,
0.7622646787,8.4891573739,11.3837379414
h=2^,-2,
0.4555511842,6.1718066645,7.6574381334
h=2^,-3,
0.1556602856,2.8933204252,3.2817808289
h=2^,-4,
0.0431933169,1.3337822129,1.4013120964
h=2^,-5,
0.0111188488,0.6457680222,0.6551759989
h=2^,-6,
0.0028009751,0.3199433746,0.3211548904
h=2^,-7,
0.0007016206,0.1595963562,0.1597489649
h=2^,-8,
0.0001754941,0.0797513906,0.0797705041
h=2^,-9,
4.38792694686507E-05,0.0398699003,0.0398722907
k=,20,
h=2^,-1,
0.9991137409,20.0171215318,28.2662030177
h=2^,-2,
0.893620244,18.1702430779,25.4712000617
h=2^,-3,
0.8765795337,18.7251404865,25.6362861222
h=2^,-4,
0.3264092299,8.0830289608,10.3848932754
h=2^,-5,
0.0904594332,3.102336544,3.5901911848
h=2^,-6,
0.0232278037,1.3544201557,1.4316866883
h=2^,-7,
0.0058468793,0.6480947955,0.6585340364
h=2^,-8,
0.0014642574,0.3202318677,0.3215648068
h=2^,-9,
0.0003662246,0.159633292,0.1598008197
k=,30,
h=2^,-1,
1.0050032739,29.9117253192,42.4585645358
h=2^,-2,
0.9966617613,29.9235450026,42.2897908562
h=2^,-3,
1.2261927522,36.8741580169,52.0710455033
h=2^,-4,
0.8843076396,27.7029329242,38.3467142511
h=2^,-5,
0.2932526728,10.3690123251,13.5951401819
h=2^,-6,
0.0780259133,3.6877005556,4.3671828647
h=2^,-7,
0.0197973471,1.5511982715,1.6608930122
h=2^,-8,
0.0049676495,0.7326697398,0.7476563765
h=2^,-9,
0.0012430642,0.3607111563,0.3626316049
k=,40,
h=2^,-1,
1.0185188992,40.0167031409,57.0973584892
h=2^,-2,
0.9997526156,40.0072475988,56.5578360877
h=2^,-3,
1.0057723326,40.3248964826,56.952703836
h=2^,-4,
1.2818807496,51.4152095249,72.6018578426
h=2^,-5,
0.6377855576,26.9585554157,37.1105053546
h=2^,-6,
0.1825165614,8.8534003533,11.4738423299
h=2^,-7,
0.046997247,3.1627418131,3.6789554214
h=2^,-8,
0.0118321179,1.3598986277,1.4398550975
h=2^,-9,
0.0029631297,0.6486999032,0.659432335
